Linux 4.4.0-53-generic (diptprisrv08) 	12/20/2016 	_x86_64_	(12 CPU)

10:06:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:06:56 PM     all      1.51      0.00      0.17      0.00      0.00     98.33
10:06:57 PM     all      0.33      0.00      0.25      0.00      0.00     99.42
10:06:58 PM     all      3.17      0.00      0.42      0.17      0.00     96.24
10:06:59 PM     all     74.48      0.00      7.20      0.00      0.00     18.33
10:07:00 PM     all     61.87      0.00     10.07      0.00      0.00     28.06
10:07:01 PM     all     65.49      0.00     12.59      0.00      0.00     21.91
10:07:02 PM     all     71.00      0.00      9.72      0.00      0.00     19.28
10:07:03 PM     all     70.77      0.00      7.79      0.00      0.00     21.44
10:07:04 PM     all     69.61      0.00      8.90      1.51      0.00     19.98
10:07:05 PM     all     69.66      0.00     10.56      0.00      0.00     19.78
10:07:06 PM     all     70.88      0.00      9.62      0.00      0.00     19.50
10:07:07 PM     all     70.30      0.00      8.98      0.92      0.00     19.80
10:07:08 PM     all     73.03      0.00      9.63      0.00      0.00     17.34
10:07:09 PM     all     70.62      0.00      9.18      0.00      0.00     20.20
10:07:10 PM     all     73.11      0.00      8.91      1.34      0.00     16.64
10:07:11 PM     all     72.16      0.00     10.85      0.34      0.00     16.65
10:07:12 PM     all     70.68      0.00      9.11      2.59      0.00     17.63
10:07:13 PM     all     71.62      0.00      8.68      0.00      0.00     19.70
10:07:14 PM     all     70.00      0.00     10.17      1.76      0.00     18.07
10:07:15 PM     all     72.32      0.00     10.57      0.76      0.00     16.36
10:07:16 PM     all     71.86      0.00      8.79      0.00      0.00     19.35
10:07:17 PM     all     70.41      0.00      8.72      0.75      0.00     20.12
10:07:18 PM     all     71.05      0.00     10.04      1.34      0.00     17.57
10:07:19 PM     all     71.80      0.00     11.55      0.25      0.00     16.40
10:07:20 PM     all     71.22      0.00      9.73      0.25      0.00     18.79
10:07:21 PM     all     71.63      0.00      9.51      2.10      0.00     16.75
10:07:22 PM     all     72.76      0.00      8.72      0.00      0.00     18.52
10:07:23 PM     all     69.92      0.00      9.33      1.01      0.00     19.75
10:07:24 PM     all     74.26      0.00      9.59      0.93      0.00     15.22
10:07:25 PM     all     71.01      0.00      9.75      1.43      0.00     17.82
10:07:26 PM     all     71.72      0.00      8.62      0.00      0.00     19.67
10:07:27 PM     all     56.53      0.00      6.11      1.84      0.00     35.51
10:07:28 PM     all     20.02      0.00      0.17      0.17      0.00     79.65
10:07:29 PM     all      2.68      0.00      1.51      6.19      0.00     89.63
10:07:30 PM     all     14.01      0.00      2.43      5.79      0.00     77.77
10:07:31 PM     all     69.61      0.00     10.92      0.25      0.00     19.23
10:07:32 PM     all     70.01      0.00     12.30      0.34      0.00     17.35
10:07:33 PM     all     68.35      0.00     11.78      1.68      0.00     18.18
10:07:34 PM     all     67.00      0.00     12.46      1.01      0.00     19.53
10:07:35 PM     all     67.28      0.00     12.11      0.00      0.00     20.61
10:07:36 PM     all     67.93      0.00     12.76      1.76      0.00     17.55
10:07:37 PM     all     67.73      0.00     12.10      0.67      0.00     19.50
10:07:38 PM     all     68.99      0.00     11.43      2.02      0.00     17.56
10:07:39 PM     all     69.10      0.00     11.98      0.75      0.00     18.17
10:07:40 PM     all     66.28      0.00     13.02      2.17      0.00     18.53
10:07:41 PM     all     66.53      0.00     12.50      0.76      0.00     20.22
10:07:42 PM     all     67.79      0.00     11.49      0.08      0.00     20.64
10:07:43 PM     all     69.50      0.00     12.52      1.26      0.00     16.72
10:07:44 PM     all     69.28      0.00     11.60      0.25      0.00     18.86
10:07:45 PM     all     19.80      0.00      2.68      5.37      0.00     72.15
10:07:46 PM     all     66.50      0.00     10.97      3.43      0.00     19.10
10:07:47 PM     all     64.98      0.00     12.74      4.14      0.00     18.14
10:07:48 PM     all     66.24      0.00     12.24      1.35      0.00     20.17
10:07:49 PM     all     69.85      0.00     10.80      0.25      0.00     19.10
10:07:50 PM     all     70.91      0.00     11.72      0.00      0.00     17.37
10:07:51 PM     all     70.97      0.00      9.73      1.43      0.00     17.87
10:07:52 PM     all     71.27      0.00      9.38      0.84      0.00     18.51
