Linux 4.4.0-53-generic (diptprisrv08) 	12/20/2016 	_x86_64_	(12 CPU)

10:06:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
10:06:56 PM         2       329      0.63      0.27      0.11         0
10:06:57 PM         2       329      0.63      0.27      0.11         0
10:06:58 PM        11       329      0.63      0.27      0.11         0
10:06:59 PM        13       329      1.30      0.42      0.15         1
10:07:00 PM         8       329      1.30      0.42      0.15         0
10:07:01 PM        13       329      1.30      0.42      0.15         0
10:07:02 PM         9       329      1.30      0.42      0.15         0
10:07:03 PM        13       329      1.30      0.42      0.15         0
10:07:04 PM        10       329      2.00      0.58      0.21         1
10:07:05 PM        12       329      2.00      0.58      0.21         0
10:07:06 PM        10       329      2.00      0.58      0.21         0
10:07:07 PM        10       329      2.00      0.58      0.21         0
10:07:08 PM        10       329      2.00      0.58      0.21         0
10:07:09 PM        12       329      2.64      0.73      0.26         2
10:07:10 PM        12       329      2.64      0.73      0.26         0
10:07:11 PM        12       329      2.64      0.73      0.26         1
10:07:12 PM        11       329      2.64      0.73      0.26         0
10:07:13 PM        12       328      2.64      0.73      0.26         0
10:07:14 PM        13       328      3.31      0.91      0.32         1
10:07:15 PM        14       328      3.31      0.91      0.32         0
10:07:16 PM        11       328      3.31      0.91      0.32         0
10:07:17 PM        12       328      3.31      0.91      0.32         0
10:07:18 PM        13       330      3.31      0.91      0.32         0
10:07:19 PM        12       331      3.85      1.06      0.37         0
10:07:20 PM        11       331      3.85      1.06      0.37         0
10:07:21 PM        14       331      3.85      1.06      0.37         0
10:07:22 PM        13       331      3.85      1.06      0.37         0
10:07:23 PM        12       329      3.85      1.06      0.37         0
10:07:24 PM        12       329      4.34      1.21      0.42         0
10:07:25 PM        11       329      4.34      1.21      0.42         0
10:07:26 PM        12       329      4.34      1.21      0.42         0
10:07:27 PM         4       329      4.34      1.21      0.42         0
10:07:28 PM         3       329      4.34      1.21      0.42         0
10:07:29 PM         2       329      4.15      1.22      0.43         1
10:07:30 PM        14       329      4.15      1.22      0.43         0
10:07:31 PM        12       329      4.15      1.22      0.43         0
10:07:32 PM        11       329      4.15      1.22      0.43         0
10:07:33 PM        12       329      4.15      1.22      0.43         0
10:07:34 PM        13       329      4.46      1.33      0.47         0
10:07:35 PM        13       329      4.46      1.33      0.47         0
10:07:36 PM        10       329      4.46      1.33      0.47         0
10:07:37 PM        12       329      4.46      1.33      0.47         0
10:07:38 PM        11       329      4.46      1.33      0.47         0
