Linux 4.4.0-53-generic (diptprisrv08) 	12/18/2016 	_x86_64_	(12 CPU)

04:26:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:26:08 AM     all      0.75      0.00      0.67      0.00      0.00     98.58
04:26:09 AM     all      0.17      0.00      0.67      0.00      0.00     99.17
04:26:10 AM     all      0.42      0.00      0.92      0.00      0.00     98.67
04:26:11 AM     all      0.25      0.00      0.75      0.08      0.00     98.91
04:26:12 AM     all      0.17      0.00      0.83      0.00      0.00     99.00
04:26:13 AM     all      0.50      0.00      0.67      0.08      0.00     98.75
04:26:14 AM     all      0.17      0.00      0.83      0.00      0.00     99.00
04:26:15 AM     all      0.17      0.00      0.67      0.00      0.00     99.16
04:26:16 AM     all      0.58      0.00      0.67      0.17      0.00     98.58
04:26:17 AM     all      0.33      0.00      0.75      0.00      0.00     98.92
04:26:18 AM     all      0.33      0.00      0.58      0.00      0.00     99.08
04:26:19 AM     all      0.50      0.00      0.83      0.00      0.00     98.67
04:26:20 AM     all      0.58      0.00      0.67      0.00      0.00     98.75
04:26:21 AM     all      0.33      0.00      0.67      0.08      0.00     98.92
04:26:22 AM     all      4.58      0.00      2.66      0.00      0.00     92.76
04:26:23 AM     all      0.17      0.00      0.42      0.08      0.00     99.33
04:26:24 AM     all      0.59      0.00      0.59      0.00      0.00     98.83
04:26:25 AM     all      0.33      0.00      0.83      0.00      0.00     98.83
04:26:26 AM     all     32.18      0.00     21.48      0.25      0.00     46.08
04:26:27 AM     all     41.32      0.00     24.62      0.17      0.00     33.89
04:26:28 AM     all     47.78      0.00     14.50      0.08      0.00     37.64
04:26:29 AM     all     64.77      0.00      9.02      0.00      0.00     26.21
04:26:30 AM     all     62.04      0.00     12.12      1.34      0.00     24.50
04:26:31 AM     all     62.99      0.00      8.69      0.25      0.00     28.07
04:26:32 AM     all     70.68      0.00     11.19      0.00      0.00     18.13
04:26:33 AM     all     67.48      0.00     12.32      0.17      0.00     20.03
04:26:34 AM     all     66.39      0.00     14.07      0.67      0.00     18.87
04:26:35 AM     all     68.92      0.00     11.95      0.75      0.00     18.38
04:26:36 AM     all     71.67      0.00     10.23      0.42      0.00     17.69
04:26:37 AM     all     69.60      0.00     10.89      0.67      0.00     18.84
04:26:38 AM     all     68.66      0.00     10.92      0.00      0.00     20.42
04:26:39 AM     all     66.36      0.00     11.21      0.67      0.00     21.76
04:26:40 AM     all     67.06      0.00     11.57      0.00      0.00     21.37
04:26:41 AM     all     72.69      0.00      9.08      0.42      0.00     17.82
04:26:42 AM     all     71.06      0.00     10.18      0.50      0.00     18.27
04:26:43 AM     all     40.95      0.00      5.44      2.51      0.00     51.09
04:26:44 AM     all      3.84      0.00      1.34      7.10      0.00     87.73
04:26:45 AM     all     19.70      0.00      3.84      5.93      0.00     70.53
04:26:46 AM     all     69.06      0.00     12.21      0.33      0.00     18.39
04:26:47 AM     all     70.31      0.00     11.02      0.76      0.00     17.91
04:26:48 AM     all     70.43      0.00     11.11      1.00      0.00     17.46
04:26:49 AM     all     69.32      0.00     10.48      1.17      0.00     19.03
04:26:50 AM     all     69.87      0.00     11.45      0.51      0.00     18.18
04:26:51 AM     all     67.81      0.00     10.73      1.51      0.00     19.95
04:26:52 AM     all     68.43      0.00     11.89      0.25      0.00     19.43
04:26:53 AM     all     68.62      0.00     10.82      1.43      0.00     19.13
04:26:54 AM     all     71.61      0.00      9.60      1.43      0.00     17.35
04:26:55 AM     all     66.97      0.00     12.54      0.42      0.00     20.07
04:26:56 AM     all     68.99      0.00     12.24      0.84      0.00     17.94
04:26:57 AM     all     67.34      0.00      9.54      1.60      0.00     21.52
04:26:58 AM     all     13.02      0.00      1.17      6.93      0.00     78.88
04:26:59 AM     all      3.69      0.00      1.59      6.45      0.00     88.27
04:27:00 AM     all     27.05      0.00      3.52      5.78      0.00     63.65
04:27:01 AM     all     70.11      0.00      9.57      0.34      0.00     19.98
04:27:02 AM     all     70.29      0.00      9.62      1.09      0.00     19.00
04:27:03 AM     all     71.21      0.00     10.61      0.25      0.00     17.93
04:27:04 AM     all     69.55      0.00     10.85      1.18      0.00     18.42
04:27:05 AM     all     69.12      0.00     10.38      0.00      0.00     20.50
04:27:06 AM     all     68.48      0.00     12.46      0.17      0.00     18.90
04:27:07 AM     all     64.42      0.00     13.58      2.02      0.00     19.98
04:27:08 AM     all     70.95      0.00     10.27      0.33      0.00     18.45
04:27:09 AM     all     68.87      0.00      9.96      1.26      0.00     19.92
04:27:10 AM     all     68.79      0.00     10.21      1.42      0.00     19.58
04:27:11 AM     all     71.96      0.00      9.82      1.26      0.00     16.96
04:27:12 AM     all     74.18      0.00      8.07      0.00      0.00     17.75
04:27:13 AM     all     47.66      0.00      1.25      2.42      0.00     48.66
04:27:14 AM     all     21.98      0.00      1.42      5.58      0.00     71.02
04:27:15 AM     all     20.75      0.00      1.76      6.36      0.00     71.13
04:27:16 AM     all     68.69      0.00     11.49      1.08      0.00     18.73
