Linux 4.4.0-53-generic (diptprisrv08) 	12/16/2016 	_x86_64_	(12 CPU)

04:17:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:17:59 PM     all      0.25      0.00      0.08      0.00      0.00     99.67
04:18:00 PM     all      0.25      0.00      0.17      0.00      0.00     99.58
04:18:01 PM     all      0.08      0.00      0.17      0.00      0.00     99.75
04:18:02 PM     all      0.33      0.00      0.00      0.00      0.00     99.67
04:18:03 PM     all      4.33      0.00      1.58      0.08      0.00     94.00
04:18:04 PM     all      4.25      0.00      1.42      0.00      0.00     94.33
04:18:05 PM     all      0.33      0.00      0.08      0.00      0.00     99.58
04:18:06 PM     all      0.42      0.00      0.08      0.00      0.00     99.50
04:18:07 PM     all     44.08      0.00      4.42      0.08      0.00     51.42
04:18:08 PM     all     71.75      0.00      9.39      0.00      0.00     18.86
04:18:09 PM     all     61.26      0.00      9.83      0.00      0.00     28.91
04:18:10 PM     all     65.60      0.00     11.16      0.00      0.00     23.24
04:18:11 PM     all     68.20      0.00      9.37      0.00      0.00     22.43
04:18:12 PM     all     69.96      0.00     11.55      1.51      0.00     16.99
04:18:13 PM     all     67.64      0.00     10.73      0.25      0.00     21.37
04:18:14 PM     all     66.86      0.00     14.51      0.00      0.00     18.62
04:18:15 PM     all     65.94      0.00     11.27      0.08      0.00     22.70
04:18:16 PM     all     68.40      0.00     14.45      0.08      0.00     17.06
04:18:17 PM     all     69.60      0.00     10.80      0.25      0.00     19.35
04:18:18 PM     all     70.10      0.00     11.81      0.08      0.00     18.01
04:18:19 PM     all     68.54      0.00     13.62      0.00      0.00     17.83
04:18:20 PM     all     64.92      0.00     12.51      0.85      0.00     21.72
04:18:21 PM     all     68.77      0.00     14.31      0.00      0.00     16.92
04:18:22 PM     all     64.81      0.00     12.46      0.25      0.00     22.47
04:18:23 PM     all     68.12      0.00     12.75      0.84      0.00     18.29
04:18:24 PM     all     68.36      0.00     13.57      0.08      0.00     17.98
04:18:25 PM     all     67.20      0.00     12.62      1.85      0.00     18.33
04:18:26 PM     all     67.17      0.00     11.34      0.00      0.00     21.49
04:18:27 PM     all     62.31      0.00     17.25      0.00      0.00     20.44
04:18:28 PM     all     61.60      0.00     16.61      0.75      0.00     21.04
04:18:29 PM     all     57.29      0.00     19.18      0.08      0.00     23.45
04:18:30 PM     all     53.71      0.00     21.50      0.34      0.00     24.45
04:18:31 PM     all     59.04      0.00     21.45      1.60      0.00     17.91
04:18:32 PM     all     60.67      0.00     17.56      3.61      0.00     18.15
04:18:33 PM     all     59.80      0.00     16.42      0.17      0.00     23.62
04:18:34 PM     all     54.44      0.00     18.59      1.42      0.00     25.54
04:18:35 PM     all     53.99      0.00     20.44      0.00      0.00     25.57
04:18:36 PM     all     65.69      0.00     16.82      1.59      0.00     15.90
04:18:37 PM     all     63.20      0.00     15.59      3.94      0.00     17.27
04:18:38 PM     all     60.40      0.00     16.61      0.00      0.00     22.99
04:18:39 PM     all     56.10      0.00     22.29      1.26      0.00     20.35
04:18:40 PM     all     56.39      0.00     22.94      0.00      0.00     20.67
04:18:41 PM     all     52.57      0.00     22.88      0.00      0.00     24.56
04:18:42 PM     all     55.35      0.00     21.74      1.35      0.00     21.57
04:18:43 PM     all     54.61      0.00     20.10      0.00      0.00     25.29
04:18:44 PM     all     57.62      0.00     19.77      0.17      0.00     22.45
04:18:45 PM     all     57.08      0.00     20.66      0.84      0.00     21.42
04:18:46 PM     all     55.49      0.00     21.04      0.00      0.00     23.47
04:18:47 PM     all     59.24      0.00     21.01      1.93      0.00     17.82
04:18:48 PM     all     53.03      0.00     21.26      4.20      0.00     21.51
04:18:49 PM     all     58.83      0.00     20.67      0.59      0.00     19.92
04:18:50 PM     all     54.48      0.00     23.43      1.52      0.00     20.56
04:18:51 PM     all     52.94      0.00     22.27      0.00      0.00     24.79
04:18:52 PM     all     56.05      0.00     20.00      1.26      0.00     22.69
04:18:53 PM     all     58.24      0.00     19.33      0.42      0.00     22.02
04:18:54 PM     all     58.98      0.00     18.04      0.00      0.00     22.99
04:18:55 PM     all     56.21      0.00     18.43      0.85      0.00     24.51
04:18:56 PM     all     58.74      0.00     17.07      0.00      0.00     24.18
04:18:57 PM     all     52.33      0.00     19.73      1.35      0.00     26.59
04:18:58 PM     all     55.47      0.00     22.31      4.29      0.00     17.93
04:18:59 PM     all     59.58      0.00     17.49      1.51      0.00     21.42
04:19:00 PM     all     61.24      0.00     14.85      0.00      0.00     23.91
04:19:01 PM     all     66.19      0.00     15.31      0.42      0.00     18.08
04:19:02 PM     all     57.19      0.00     19.76      0.00      0.00     23.04
04:19:03 PM     all     63.80      0.00     14.21      0.42      0.00     21.57
04:19:04 PM     all     60.71      0.00     17.63      2.02      0.00     19.65
04:19:05 PM     all     58.89      0.00     18.46      0.00      0.00     22.65
04:19:06 PM     all     58.44      0.00     18.81      1.09      0.00     21.66
04:19:07 PM     all     59.73      0.00     18.28      0.00      0.00     21.99
04:19:08 PM     all     60.47      0.00     19.01      2.86      0.00     17.66
04:19:09 PM     all     56.54      0.00     20.34      3.29      0.00     19.83
04:19:10 PM     all     24.81      0.00      7.77      0.00      0.00     67.42
04:19:11 PM     all     10.67      0.00      0.08      0.00      0.00     89.25
04:19:12 PM     all      8.42      0.00      0.08      0.00      0.00     91.49
04:19:13 PM     all      9.17      0.00      0.00      0.00      0.00     90.83
04:19:14 PM     all      8.50      0.00      0.08      0.25      0.00     91.17
04:19:15 PM     all      8.99      0.00      0.25      0.00      0.00     90.76
04:19:16 PM     all      7.33      0.00      0.17      0.00      0.00     92.51
04:19:17 PM     all      8.54      0.00      0.33      0.08      0.00     91.04
04:19:18 PM     all      8.28      0.00      0.33      0.75      0.00     90.64
04:19:19 PM     all      8.42      0.00      0.08      0.00      0.00     91.49
04:19:20 PM     all      7.60      0.00      0.08      0.00      0.00     92.32
04:19:21 PM     all      7.18      0.00      0.17      0.00      0.00     92.65
04:19:22 PM     all      8.86      0.00      0.08      0.00      0.00     91.06
04:19:23 PM     all      7.36      0.00      0.17      0.59      0.00     91.89
