Linux 4.4.0-53-generic (diptprisrv08) 	12/16/2016 	_x86_64_	(12 CPU)

04:17:58 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
04:17:59 PM         1       319      0.63      0.27      0.51         0
04:18:00 PM         1       319      0.63      0.27      0.51         0
04:18:01 PM         1       319      0.63      0.27      0.51         0
04:18:02 PM         1       319      0.58      0.27      0.51         0
04:18:03 PM         1       320      0.58      0.27      0.51         1
04:18:04 PM         1       320      0.58      0.27      0.51         0
04:18:05 PM         1       320      0.58      0.27      0.51         0
04:18:06 PM         1       320      0.58      0.27      0.51         0
04:18:07 PM        12       320      0.86      0.33      0.53         0
04:18:08 PM        11       320      0.86      0.33      0.53         1
04:18:09 PM        12       320      0.86      0.33      0.53         0
04:18:10 PM        10       320      0.86      0.33      0.53         0
04:18:11 PM        10       320      0.86      0.33      0.53         0
04:18:12 PM        11       320      1.75      0.53      0.59         0
04:18:13 PM        10       320      1.75      0.53      0.59         1
04:18:14 PM        10       320      1.75      0.53      0.59         0
04:18:15 PM        10       320      1.75      0.53      0.59         0
04:18:16 PM        10       320      1.75      0.53      0.59         0
04:18:17 PM        10       320      2.41      0.68      0.64         0
04:18:18 PM         9       320      2.41      0.68      0.64         1
04:18:19 PM         4       320      2.41      0.68      0.64         0
04:18:20 PM        10       320      2.41      0.68      0.64         0
04:18:21 PM        10       320      2.41      0.68      0.64         0
04:18:22 PM        10       320      3.02      0.84      0.69         1
04:18:23 PM        10       322      3.02      0.84      0.69         1
04:18:24 PM        11       322      3.02      0.84      0.69         0
04:18:25 PM         9       322      3.02      0.84      0.69         0
04:18:26 PM        10       322      3.02      0.84      0.69         0
04:18:27 PM         8       322      3.42      0.96      0.73         0
04:18:28 PM        10       322      3.42      0.96      0.73         0
04:18:29 PM        10       322      3.42      0.96      0.73         0
04:18:30 PM         9       322      3.42      0.96      0.73         1
04:18:31 PM         7       322      3.42      0.96      0.73         1
04:18:32 PM         9       322      4.10      1.14      0.79         0
04:18:33 PM        10       322      4.10      1.14      0.79         1
04:18:34 PM        10       322      4.10      1.14      0.79         0
04:18:35 PM        10       322      4.10      1.14      0.79         0
04:18:36 PM        10       322      4.10      1.14      0.79         1
04:18:37 PM        10       320      4.66      1.31      0.85         0
04:18:38 PM         8       320      4.66      1.31      0.85         0
04:18:39 PM         8       320      4.66      1.31      0.85         0
04:18:40 PM         9       320      4.66      1.31      0.85         0
04:18:41 PM         8       320      4.66      1.31      0.85         0
04:18:42 PM         9       319      5.17      1.47      0.90         0
04:18:43 PM         8       319      5.17      1.47      0.90         0
04:18:44 PM        10       319      5.17      1.47      0.90         1
04:18:45 PM        10       319      5.17      1.47      0.90         0
04:18:46 PM        10       319      5.17      1.47      0.90         0
04:18:47 PM         8       319      5.55      1.61      0.95         1
04:18:48 PM        10       319      5.55      1.61      0.95         1
04:18:49 PM         9       319      5.55      1.61      0.95         0
04:18:50 PM        11       319      5.55      1.61      0.95         0
04:18:51 PM         9       319      5.55      1.61      0.95         0
04:18:52 PM         9       319      5.91      1.75      1.00         1
04:18:53 PM         7       319      5.91      1.75      1.00         0
04:18:54 PM        11       319      5.91      1.75      1.00         0
04:18:55 PM        11       319      5.91      1.75      1.00         0
04:18:56 PM        10       319      5.91      1.75      1.00         0
04:18:57 PM        10       319      6.16      1.87      1.04         1
04:18:58 PM         9       319      6.16      1.87      1.04         0
04:18:59 PM        10       319      6.16      1.87      1.04         0
04:19:00 PM        10       319      6.16      1.87      1.04         0
04:19:01 PM         9       319      6.16      1.87      1.04         0
04:19:02 PM        10       319      6.54      2.02      1.10         0
04:19:03 PM         6       319      6.54      2.02      1.10         0
04:19:04 PM         8       319      6.54      2.02      1.10         0
04:19:05 PM        12       319      6.54      2.02      1.10         0
04:19:06 PM         9       319      6.54      2.02      1.10         0
04:19:07 PM        11       319      6.82      2.15      1.15         0
04:19:08 PM        11       319      6.82      2.15      1.15         1
04:19:09 PM         9       319      6.82      2.15      1.15         0
04:19:10 PM         1       319      6.82      2.15      1.15         0
04:19:11 PM         1       319      6.82      2.15      1.15         0
04:19:12 PM         2       319      6.36      2.13      1.14         0
04:19:13 PM         2       319      6.36      2.13      1.14         0
04:19:14 PM         2       319      6.36      2.13      1.14         0
04:19:15 PM         3       319      6.36      2.13      1.14         0
04:19:16 PM         3       319      6.36      2.13      1.14         0
04:19:17 PM         2       319      5.93      2.11      1.14         0
04:19:18 PM         2       320      5.93      2.11      1.14         0
04:19:19 PM         1       320      5.93      2.11      1.14         0
04:19:20 PM         1       320      5.93      2.11      1.14         0
04:19:21 PM         1       320      5.93      2.11      1.14         0
04:19:22 PM         1       320      5.53      2.10      1.14         0
04:19:23 PM         0       320      5.53      2.10      1.14         0
04:19:24 PM         1       320      5.53      2.10      1.14         0
04:19:25 PM         1       320      5.53      2.10      1.14         0
04:19:26 PM         1       320      5.53      2.10      1.14         0
04:19:27 PM         1       320      5.09      2.06      1.14         0
04:19:28 PM         1       320      5.09      2.06      1.14         1
04:19:29 PM         0       320      5.09      2.06      1.14         0
04:19:30 PM         1       322      5.09      2.06      1.14         0
04:19:31 PM         1       322      5.09      2.06      1.14         0
04:19:32 PM         0       322      4.84      2.06      1.14         1
04:19:33 PM         0       322      4.84      2.06      1.14         1
04:19:34 PM         0       322      4.84      2.06      1.14         1
04:19:35 PM         0       322      4.84      2.06      1.14         0
04:19:36 PM         0       322      4.84      2.06      1.14         0
04:19:37 PM         0       322      4.45      2.02      1.14         0
04:19:38 PM         0       322      4.45      2.02      1.14         0
04:19:39 PM         0       322      4.45      2.02      1.14         0
04:19:40 PM         0       322      4.45      2.02      1.14         1
04:19:41 PM         0       320      4.45      2.02      1.14         0
04:19:42 PM         0       320      4.10      1.99      1.13         0
