Linux 4.4.0-53-generic (diptprisrv08) 	12/18/2016 	_x86_64_	(12 CPU)

03:52:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:52:13 AM     all      0.17      0.00      0.17      0.08      0.00     99.58
03:52:14 AM     all      0.00      0.00      0.17      0.00      0.00     99.83
03:52:15 AM     all      0.58      0.00      0.42      0.00      0.00     99.00
03:52:16 AM     all      0.08      0.00      0.25      0.00      0.00     99.67
03:52:17 AM     all      0.25      0.00      0.25      0.00      0.00     99.50
03:52:18 AM     all      0.58      0.00      0.33      0.08      0.00     99.00
03:52:19 AM     all      0.25      0.00      0.17      0.00      0.00     99.58
03:52:20 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
03:52:21 AM     all      0.42      0.00      0.25      0.00      0.00     99.33
03:52:22 AM     all      2.17      0.00      1.09      0.17      0.00     96.57
03:52:23 AM     all      8.43      0.00      2.25      2.92      0.00     86.39
03:52:24 AM     all      2.26      0.00      1.01      3.94      0.00     92.80
03:52:25 AM     all      3.69      0.00      1.17      2.35      0.00     92.80
03:52:26 AM     all      3.17      0.00      1.42      3.00      0.00     92.42
03:52:27 AM     all      1.67      0.00      0.50      0.00      0.00     97.84
03:52:28 AM     all      0.17      0.00      0.17      0.00      0.00     99.67
03:52:29 AM     all      0.08      0.00      0.25      0.00      0.00     99.67
03:52:30 AM     all      9.52      0.00      1.42      0.08      0.00     88.98
03:52:31 AM     all     70.72      0.00      9.73      0.17      0.00     19.38
03:52:32 AM     all     67.25      0.00      9.80      0.00      0.00     22.95
03:52:33 AM     all     65.49      0.00     11.78      0.25      0.00     22.47
03:52:34 AM     all     70.23      0.00     12.03      0.00      0.00     17.75
03:52:35 AM     all     72.86      0.00      8.96      0.08      0.00     18.09
03:52:36 AM     all     72.39      0.00     10.77      0.59      0.00     16.25
03:52:37 AM     all     68.89      0.00     11.30      0.84      0.00     18.97
03:52:38 AM     all     70.98      0.00     11.27      0.00      0.00     17.75
03:52:39 AM     all     67.51      0.00     12.66      0.00      0.00     19.83
03:52:40 AM     all     66.44      0.00     14.89      1.01      0.00     17.66
03:52:41 AM     all     64.36      0.00     14.57      0.00      0.00     21.06
03:52:42 AM     all     64.42      0.00     14.67      0.00      0.00     20.91
03:52:43 AM     all     65.32      0.00     16.20      1.68      0.00     16.79
03:52:44 AM     all     66.61      0.00     13.86      0.58      0.00     18.95
03:52:45 AM     all     67.34      0.00     14.15      0.17      0.00     18.34
03:52:46 AM     all     61.17      0.00     18.58      0.84      0.00     19.41
03:52:47 AM     all     59.93      0.00     18.27      0.00      0.00     21.79
03:52:48 AM     all     61.17      0.00     18.16      0.08      0.00     20.59
03:52:49 AM     all     55.36      0.00     21.18      1.27      0.00     22.19
03:52:50 AM     all     57.41      0.00     18.54      0.00      0.00     24.05
03:52:51 AM     all     56.14      0.00     21.21      1.43      0.00     21.21
03:52:52 AM     all     55.34      0.00     23.38      3.20      0.00     18.08
03:52:53 AM     all     54.34      0.00     21.48      1.01      0.00     23.17
03:52:54 AM     all     57.64      0.00     20.97      1.36      0.00     20.03
03:52:55 AM     all     55.58      0.00     19.98      0.08      0.00     24.35
03:52:56 AM     all     67.00      0.00     13.47      0.00      0.00     19.53
03:52:57 AM     all     58.89      0.00     17.53      1.76      0.00     21.81
03:52:58 AM     all     61.54      0.00     17.47      0.00      0.00     20.99
03:52:59 AM     all     61.22      0.00     20.10      1.09      0.00     17.59
03:53:00 AM     all     53.74      0.00     22.54      1.35      0.00     22.37
03:53:01 AM     all     52.50      0.00     20.87      0.00      0.00     26.63
03:53:02 AM     all     53.22      0.00     23.26      0.92      0.00     22.59
03:53:03 AM     all     51.86      0.00     20.95      0.00      0.00     27.20
03:53:04 AM     all     50.72      0.00     22.45      0.00      0.00     26.84
03:53:05 AM     all     56.94      0.00     20.86      0.67      0.00     21.53
03:53:06 AM     all     58.88      0.00     18.93      0.25      0.00     21.94
03:53:07 AM     all     58.47      0.00     20.85      0.42      0.00     20.25
03:53:08 AM     all     53.16      0.00     20.47      1.68      0.00     24.68
03:53:09 AM     all     57.43      0.00     19.73      0.00      0.00     22.84
03:53:10 AM     all     58.65      0.00     19.38      1.25      0.00     20.72
03:53:11 AM     all     52.45      0.00     23.44      0.34      0.00     23.78
03:53:12 AM     all     54.23      0.00     18.61      1.68      0.00     25.48
03:53:13 AM     all     53.36      0.00     24.29      2.86      0.00     19.50
03:53:14 AM     all     54.46      0.00     22.19      0.00      0.00     23.35
03:53:15 AM     all     51.60      0.00     22.05      0.00      0.00     26.35
03:53:16 AM     all     54.88      0.00     21.30      1.43      0.00     22.39
03:53:17 AM     all     56.70      0.00     18.79      0.00      0.00     24.52
03:53:18 AM     all     57.37      0.00     17.34      0.00      0.00     25.29
