Linux 4.4.0-53-generic (diptprisrv09) 	12/17/2016 	_x86_64_	(12 CPU)

09:29:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:29:17 PM     all      0.08      0.00      0.33      0.00      0.00     99.58
09:29:18 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:29:19 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:29:20 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:21 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:22 PM     all      0.00      0.00      0.25      0.08      0.00     99.67
09:29:23 PM     all      0.17      0.00      0.25      0.00      0.00     99.58
09:29:24 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:25 PM     all      0.00      0.00      2.50      0.00      0.00     97.50
09:29:26 PM     all      3.75      0.00      1.42      0.08      0.00     94.75
09:29:27 PM     all      2.95      0.00      2.36      0.08      0.00     94.61
09:29:28 PM     all      3.15      0.00      1.45      0.00      0.00     95.41
09:29:29 PM     all      6.51      0.00      0.75      0.00      0.00     92.74
09:29:30 PM     all      1.45      0.00      2.22      0.00      0.00     96.33
09:29:31 PM     all      1.72      0.00      2.49      0.00      0.00     95.80
09:29:32 PM     all      2.04      0.00      2.72      0.08      0.00     95.16
09:29:33 PM     all      1.45      0.00      2.72      0.00      0.00     95.83
09:29:34 PM     all      1.45      0.00      2.48      0.00      0.00     96.07
09:29:35 PM     all      1.19      0.00      1.53      0.08      0.00     97.20
09:29:36 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:37 PM     all      0.08      0.00      0.17      0.08      0.00     99.67
09:29:38 PM     all      0.08      0.00      0.17      0.00      0.00     99.75
09:29:39 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
09:29:40 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
09:29:41 PM     all      1.76      0.00      1.34      0.17      0.00     96.73
09:29:42 PM     all      0.33      0.00      0.33      0.08      0.00     99.25
09:29:43 PM     all      0.17      0.00      0.08      0.08      0.00     99.67
09:29:44 PM     all      0.08      0.00      0.08      0.00      0.00     99.83
09:29:45 PM     all      0.08      0.00      0.08      0.00      0.00     99.83
09:29:46 PM     all      1.09      0.00      0.25      0.00      0.00     98.66
09:29:47 PM     all      0.00      0.00      0.17      0.08      0.00     99.75
09:29:48 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:49 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:50 PM     all      0.17      0.00      0.17      0.00      0.00     99.67
09:29:51 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:52 PM     all      0.08      0.00      0.17      0.17      0.00     99.58
09:29:53 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
09:29:54 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:55 PM     all      0.08      0.00      0.17      0.00      0.00     99.75
09:29:56 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:29:57 PM     all      0.08      0.00      0.08      0.08      0.00     99.75
09:29:58 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:59 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
09:30:00 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:30:01 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:30:02 PM     all      0.00      0.00      0.17      0.17      0.00     99.67
09:30:03 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:30:04 PM     all      0.08      0.00      0.17      0.00      0.00     99.75
