Linux 4.4.0-53-generic (diptprisrv09) 	12/17/2016 	_x86_64_	(12 CPU)

09:29:16 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
09:29:17 PM         0       281      0.05      0.03      0.00         0
09:29:18 PM         0       281      0.05      0.03      0.00         0
09:29:19 PM         0       281      0.05      0.03      0.00         0
09:29:20 PM         0       281      0.05      0.03      0.00         0
09:29:21 PM         0       281      0.05      0.03      0.00         1
09:29:22 PM         0       281      0.05      0.02      0.00         0
09:29:23 PM         0       283      0.05      0.02      0.00         0
09:29:24 PM         0       283      0.05      0.02      0.00         0
09:29:25 PM         0       283      0.05      0.02      0.00         0
09:29:26 PM         1       289      0.05      0.02      0.00         1
09:29:27 PM         1       303      0.13      0.04      0.01         0
09:29:28 PM         1       303      0.13      0.04      0.01         0
09:29:29 PM         1       303      0.13      0.04      0.01         0
09:29:30 PM         0       303      0.13      0.04      0.01         0
09:29:31 PM         0       303      0.13      0.04      0.01         1
09:29:32 PM         1       303      0.12      0.04      0.01         0
09:29:33 PM         1       303      0.12      0.04      0.01         0
09:29:34 PM         1       303      0.12      0.04      0.01         0
09:29:35 PM         0       301      0.12      0.04      0.01         0
09:29:36 PM         0       298      0.12      0.04      0.01         1
09:29:37 PM         0       298      0.11      0.04      0.01         0
09:29:38 PM         0       298      0.11      0.04      0.01         0
09:29:39 PM         0       298      0.11      0.04      0.01         0
09:29:40 PM         0       298      0.11      0.04      0.01         0
09:29:41 PM         0       298      0.11      0.04      0.01         1
09:29:42 PM         0       298      0.10      0.04      0.01         0
09:29:43 PM         0       298      0.10      0.04      0.01         0
09:29:44 PM         0       298      0.10      0.04      0.01         0
09:29:45 PM         0       298      0.10      0.04      0.01         0
09:29:46 PM         0       298      0.10      0.04      0.01         1
09:29:47 PM         0       298      0.09      0.04      0.01         0
09:29:48 PM         0       298      0.09      0.04      0.01         0
09:29:49 PM         0       298      0.09      0.04      0.01         0
09:29:50 PM         0       296      0.09      0.04      0.01         0
09:29:51 PM         0       296      0.09      0.04      0.01         1
09:29:52 PM         0       296      0.08      0.04      0.01         0
09:29:53 PM         0       296      0.08      0.04      0.01         0
09:29:54 PM         0       296      0.08      0.04      0.01         0
09:29:55 PM         0       296      0.08      0.04      0.01         0
09:29:56 PM         0       295      0.08      0.04      0.01         1
09:29:57 PM         0       295      0.08      0.04      0.01         0
09:29:58 PM         0       295      0.08      0.04      0.01         0
09:29:59 PM         0       295      0.08      0.04      0.01         0
09:30:00 PM         0       295      0.08      0.04      0.01         0
09:30:01 PM         0       295      0.08      0.04      0.01         1
09:30:02 PM         0       295      0.07      0.03      0.01         0
09:30:03 PM         0       295      0.07      0.03      0.01         0
09:30:04 PM         0       295      0.07      0.03      0.01         0
