Linux 4.4.0-53-generic (diptprisrv08) 	12/17/2016 	_x86_64_	(12 CPU)

09:29:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:29:18 PM     all      0.42      0.00      0.33      0.00      0.00     99.25
09:29:19 PM     all      0.08      0.00      0.17      0.00      0.00     99.75
09:29:20 PM     all      0.17      0.00      0.08      0.00      0.00     99.75
09:29:21 PM     all      0.50      0.00      0.17      0.67      0.00     98.66
09:29:22 PM     all      0.17      0.00      0.25      0.00      0.00     99.58
09:29:23 PM     all      0.50      0.00      0.25      0.08      0.00     99.17
09:29:24 PM     all      0.58      0.00      0.33      0.00      0.00     99.08
09:29:25 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:26 PM     all      0.58      0.00      0.50      0.00      0.00     98.91
09:29:27 PM     all      2.43      0.00      1.18      0.00      0.00     96.39
09:29:28 PM     all      5.77      0.00      0.42      0.17      0.00     93.64
09:29:29 PM     all      4.69      0.00      0.75      0.00      0.00     94.56
09:29:30 PM     all      1.02      0.00      0.68      0.00      0.00     98.31
09:29:31 PM     all      0.25      0.00      0.59      0.00      0.00     99.15
09:29:32 PM     all      0.17      0.00      0.68      0.00      0.00     99.15
09:29:33 PM     all      0.25      0.00      0.51      0.00      0.00     99.24
09:29:34 PM     all      0.08      0.00      0.76      0.00      0.00     99.15
09:29:35 PM     all      3.52      0.00      1.26      0.59      0.00     94.64
09:29:36 PM     all      0.42      0.00      0.00      0.00      0.00     99.58
09:29:37 PM     all      0.08      0.00      0.08      0.00      0.00     99.83
09:29:38 PM     all      0.08      0.00      0.17      0.08      0.00     99.67
09:29:39 PM     all      0.42      0.00      0.17      0.00      0.00     99.42
09:29:40 PM     all      0.08      0.00      0.17      0.00      0.00     99.75
09:29:41 PM     all      0.08      0.00      0.25      0.00      0.00     99.67
09:29:42 PM     all      0.42      0.00      0.17      0.00      0.00     99.42
09:29:43 PM     all      0.17      0.00      0.08      0.00      0.00     99.75
09:29:44 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
09:29:45 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
09:29:46 PM     all      0.08      0.00      0.08      0.00      0.00     99.83
09:29:47 PM     all      0.00      0.00      0.17      0.00      0.00     99.83
09:29:48 PM     all      0.42      0.00      0.08      0.00      0.00     99.50
09:29:49 PM     all      0.08      0.00      0.00      0.00      0.00     99.92
09:29:50 PM     all      0.00      0.00      0.08      0.00      0.00     99.92
09:29:51 PM     all      0.58      0.00      0.33      0.00      0.00     99.08
09:29:52 PM     all      0.33      0.00      0.00      0.00      0.00     99.67
09:29:53 PM     all      0.08      0.00      0.25      0.08      0.00     99.58
09:29:54 PM     all      0.33      0.00      0.08      0.00      0.00     99.58
