Linux 4.4.0-53-generic (diptprisrv08) 	12/17/2016 	_x86_64_	(12 CPU)

09:29:17 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
09:29:18 PM         0       316      0.92      0.53      0.43         0
09:29:19 PM         0       318      0.92      0.53      0.43         0
09:29:20 PM         0       318      0.85      0.52      0.42         0
09:29:21 PM         0       318      0.85      0.52      0.42         0
09:29:22 PM         0       318      0.85      0.52      0.42         0
09:29:23 PM         0       318      0.85      0.52      0.42         0
09:29:24 PM         0       320      0.85      0.52      0.42         0
09:29:25 PM         0       320      0.78      0.52      0.42         0
09:29:26 PM         1       323      0.78      0.52      0.42         0
09:29:27 PM         0       323      0.78      0.52      0.42         0
09:29:28 PM         1       319      0.78      0.52      0.42         0
09:29:29 PM         0       321      0.78      0.52      0.42         0
09:29:30 PM         0       321      0.72      0.51      0.42         0
09:29:31 PM         1       321      0.72      0.51      0.42         0
09:29:32 PM         0       321      0.72      0.51      0.42         0
09:29:33 PM         0       321      0.72      0.51      0.42         0
09:29:34 PM         0       321      0.72      0.51      0.42         0
09:29:35 PM         0       301      0.74      0.52      0.42         0
09:29:36 PM         0       301      0.74      0.52      0.42         0
09:29:37 PM         0       301      0.74      0.52      0.42         0
09:29:38 PM         0       301      0.74      0.52      0.42         0
09:29:39 PM         0       301      0.74      0.52      0.42         0
09:29:40 PM         0       303      0.68      0.51      0.42         0
09:29:41 PM         0       299      0.68      0.51      0.42         0
09:29:42 PM         0       299      0.68      0.51      0.42         0
09:29:43 PM         0       299      0.68      0.51      0.42         0
09:29:44 PM         0       299      0.68      0.51      0.42         0
09:29:45 PM         0       299      0.63      0.50      0.42         0
09:29:46 PM         0       299      0.63      0.50      0.42         0
09:29:47 PM         0       299      0.63      0.50      0.42         0
09:29:48 PM         0       299      0.63      0.50      0.42         0
09:29:49 PM         0       299      0.63      0.50      0.42         0
09:29:50 PM         0       299      0.58      0.49      0.42         0
09:29:51 PM         0       299      0.58      0.49      0.42         0
09:29:52 PM         0       299      0.58      0.49      0.42         0
09:29:53 PM         0       299      0.58      0.49      0.42         0
09:29:54 PM         0       299      0.58      0.49      0.42         0
